transaction_id,store_id,employee_id,customer_id,plan_id,transaction_date,transaction_type,status,amount
94,11,29,314,3,2026-05-04,Upgrade,Refunded,-95.08
95,6,13,264,1,2026-04-27,Bill Payment,Completed,30.0
96,2,5,2341,4,2026-02-01,Bill Payment,Completed,55.0
97,8,17,99,3,2025-01-27,Bill Payment,Completed,45.0
98,5,12,1390,4,2025-09-21,New Activation,Completed,68.7
99,7,16,236,2,2026-02-04,Bill Payment,Refunded,-40.0
100,9,20,795,,2026-05-25,Accessory Sale,Voided,0.0
101,14,36,1727,1,2025-05-11,Bill Payment,Refunded,-30.0
102,11,29,2477,6,2026-01-20,Bill Payment,Completed,65.0
103,15,42,249,2,2025-03-02,Bill Payment,Refunded,-40.0
104,3,6,971,1,2025-03-08,Bill Payment,Refunded,-30.0
105,2,4,875,6,2025-07-18,Bill Payment,Completed,65.0
106,17,48,1480,2,2026-04-03,Bill Payment,Completed,40.0
107,4,9,107,6,2026-01-22,Bill Payment,Completed,65.0
108,5,,963,1,2026-03-18,Bill Payment,Completed,30.0
109,11,30,456,3,2026-04-28,New Activation,Completed,55.01
110,18,49,2406,6,2025-08-31,Bill Payment,Completed,65.0
111,12,32,2550,6,2025-10-09,Bill Payment,Completed,65.0
112,9,20,1753,4,2025-02-12,Bill Payment,Completed,55.0
113,12,32,1162,2,2025-11-16,Bill Payment,Completed,40.0
114,13,34,2300,,2025-08-13,Accessory Sale,Voided,0.0
115,2,3,1133,6,2026-02-09,Bill Payment,Completed,65.0
116,8,19,1570,5,2025-04-16,Bill Payment,Refunded,-60.0
117,6,14,825,2,2025-10-28,Bill Payment,Completed,40.0
118,3,7,1508,5,2026-04-22,Upgrade,Completed,92.01
119,8,17,2169,2,2025-07-05,Plan Change,Completed,7.38
120,18,49,1582,2,2026-03-23,Bill Payment,Completed,40.0
121,8,17,1669,,2026-05-22,Accessory Sale,Completed,123.62
122,7,16,2412,3,2026-03-16,Bill Payment,Completed,45.0
123,17,48,2072,3,2025-02-03,Bill Payment,Completed,45.0
124,14,36,470,6,2026-05-06,Bill Payment,Completed,65.0
125,11,27,2501,1,2025-09-16,Bill Payment,Completed,30.0
126,1,2,628,4,2025-12-25,Bill Payment,Completed,55.0
127,2,5,1006,3,2026-05-20,Bill Payment,Completed,45.0
128,8,19,1711,4,2026-02-12,Bill Payment,Completed,55.0
129,5,11,1182,5,2025-02-06,New Activation,Refunded,-68.63
130,2,,2168,,2025-11-29,Accessory Sale,Completed,116.23
131,2,3,1607,2,2025-08-27,Plan Change,Completed,0.1
132,11,28,1797,,2025-06-11,Accessory Sale,Refunded,-123.65
133,18,49,63,3,2026-01-09,Bill Payment,Completed,45.0
134,6,13,481,1,2025-11-13,Plan Change,Refunded,-0.78
135,3,6,988,2,2026-02-04,Bill Payment,Completed,40.0
136,16,46,800,4,2026-05-25,Bill Payment,Completed,55.0
137,14,37,631,6,2026-05-31,Bill Payment,Completed,65.0
138,6,13,1825,5,2026-04-22,Bill Payment,Completed,60.0
139,17,48,2489,6,2025-08-04,New Activation,Completed,72.55
140,4,10,742,6,2025-03-22,Bill Payment,Completed,65.0
141,15,39,1991,5,2026-01-19,Upgrade,Completed,132.22
142,16,43,2406,6,2026-04-08,Upgrade,Completed,96.08
143,5,11,1670,5,2025-05-09,Bill Payment,Completed,60.0
144,8,18,1551,3,2025-07-24,Bill Payment,Voided,0.0
145,5,11,1318,2,2025-08-27,Bill Payment,Completed,40.0
146,12,31,483,,2025-08-22,Accessory Sale,Completed,34.88
147,17,48,1748,3,2025-07-22,Bill Payment,Voided,0.0
148,12,,1081,1,2026-03-15,Bill Payment,Completed,30.0
149,9,22,1259,1,2025-02-15,Bill Payment,Completed,30.0
150,15,39,1547,,2025-10-05,Accessory Sale,Completed,83.11
151,7,15,174,4,2025-10-04,Bill Payment,Completed,55.0
152,1,2,1568,1,2025-04-17,New Activation,Completed,38.13
153,6,14,2446,3,2025-10-31,Bill Payment,Completed,45.0
154,4,9,662,6,2025-08-10,Bill Payment,Completed,65.0
155,8,18,566,2,2026-04-13,Bill Payment,Completed,40.0
156,16,43,64,5,2026-06-14,Bill Payment,Refunded,-60.0
157,12,31,1942,5,2025-05-14,Bill Payment,Voided,0.0
158,15,40,2290,5,2026-03-18,Bill Payment,Completed,60.0
159,6,13,2306,1,2025-09-19,Bill Payment,Completed,30.0
160,16,46,1600,3,2025-07-01,Bill Payment,Completed,45.0
161,4,9,1282,5,2025-11-01,Bill Payment,Refunded,-60.0
162,5,11,2291,4,2026-01-11,Bill Payment,Completed,55.0
163,16,46,1541,6,2025-03-24,Upgrade,Completed,98.64
164,12,32,1458,4,2026-05-10,Bill Payment,Completed,55.0
165,12,31,1594,5,2025-10-22,Bill Payment,Completed,60.0
166,3,6,1193,,2025-08-02,Accessory Sale,Voided,0.0
167,14,36,949,1,2026-03-25,Bill Payment,Completed,30.0
168,5,12,448,6,2026-01-02,Bill Payment,Completed,65.0
169,12,32,1227,5,2025-02-26,Bill Payment,Completed,60.0
170,9,22,2316,5,2025-09-24,Plan Change,Completed,3.25
171,1,,2085,5,2025-11-03,Bill Payment,Refunded,-60.0
172,18,50,303,5,2025-09-09,Bill Payment,Completed,60.0
173,8,18,609,5,2025-08-12,Upgrade,Completed,99.29
174,16,46,352,1,2025-03-13,Bill Payment,Completed,30.0
175,3,6,1377,4,2026-06-10,Bill Payment,Completed,55.0
176,14,36,1191,4,2026-06-24,Bill Payment,Completed,55.0
177,9,20,578,3,2026-05-11,Bill Payment,Refunded,-45.0
178,3,7,1577,5,2026-05-25,Bill Payment,Completed,60.0
179,2,5,873,1,2025-05-20,Bill Payment,Refunded,-30.0
180,11,28,263,2,2026-04-29,Bill Payment,Completed,40.0
181,13,34,1295,6,2026-05-23,Bill Payment,Completed,65.0
182,12,31,1303,4,2026-02-02,New Activation,Completed,65.42
183,10,26,285,4,2025-05-22,Bill Payment,Completed,55.0
184,1,1,1146,3,2025-12-12,Bill Payment,Completed,45.0
185,9,20,682,2,2025-03-04,New Activation,Completed,52.46
186,9,21,77,5,2025-01-14,Bill Payment,Voided,0.0
187,8,18,1914,,2025-07-26,Accessory Sale,Completed,106.82
188,12,32,906,3,2025-01-18,Bill Payment,Completed,45.0
189,12,32,713,4,2025-02-13,Bill Payment,Completed,55.0
190,3,7,1124,5,2025-01-16,New Activation,Completed,67.96
191,14,35,1989,,2025-12-19,Accessory Sale,Voided,0.0
192,10,25,827,,2025-12-05,Accessory Sale,Refunded,-61.15
193,11,29,748,4,2026-02-21,Upgrade,Completed,98.42
194,2,4,1358,,2025-06-07,Accessory Sale,Voided,0.0
195,16,,288,6,2025-03-06,Bill Payment,Completed,65.0
196,11,28,660,2,2026-02-22,Bill Payment,Voided,0.0
197,17,48,2508,6,2025-10-28,New Activation,Completed,79.08
198,18,49,2436,5,2025-11-01,Bill Payment,Completed,60.0
199,12,32,2193,3,2026-04-05,Upgrade,Voided,0.0
200,3,8,1809,6,2025-01-28,Bill Payment,Completed,65.0
201,8,17,1930,2,2025-06-05,Bill Payment,Completed,40.0
202,16,43,1961,3,2025-12-24,New Activation,Completed,57.83
203,4,10,859,4,2025-08-16,Bill Payment,Refunded,-55.0
204,12,31,1076,5,2025-04-07,Bill Payment,Voided,0.0
205,3,7,287,2,2026-06-28,Bill Payment,Completed,40.0
206,7,16,1930,2,2025-03-26,Bill Payment,Completed,40.0
207,10,24,142,2,2025-10-23,Bill Payment,Completed,40.0
208,11,28,994,3,2026-02-10,Bill Payment,Voided,0.0
209,2,5,1159,1,2025-03-24,Bill Payment,Completed,30.0
210,6,14,193,3,2025-09-30,Bill Payment,Refunded,-45.0
211,7,15,2186,,2026-06-29,Accessory Sale,Completed,36.38
212,2,4,312,6,2025-03-25,Bill Payment,Completed,65.0
213,1,1,2569,4,2025-12-07,Bill Payment,Completed,55.0
214,7,15,1367,1,2026-06-29,Bill Payment,Completed,30.0
215,3,6,1492,2,2025-06-04,Bill Payment,Completed,40.0
216,12,32,1051,6,2026-04-28,Bill Payment,Completed,65.0
217,14,35,1298,6,2026-04-08,Bill Payment,Refunded,-65.0
218,14,37,2593,,2026-01-30,Accessory Sale,Completed,20.95
219,16,44,1842,4,2025-03-11,New Activation,Completed,65.96
220,8,19,938,4,2025-10-09,Bill Payment,Completed,55.0
221,6,13,1196,6,2026-03-17,Bill Payment,Completed,65.0
222,6,13,2411,5,2025-03-01,New Activation,Completed,70.68
223,6,13,1327,,2026-01-20,Accessory Sale,Completed,127.04
224,17,48,2090,5,2026-01-11,Bill Payment,Completed,60.0
225,6,14,1358,1,2025-11-05,Bill Payment,Completed,30.0
226,3,6,1627,1,2025-04-11,Bill Payment,Completed,30.0
227,11,30,113,2,2026-05-17,New Activation,Completed,51.1
228,13,34,2101,2,2025-03-06,Bill Payment,Completed,40.0
229,12,31,1817,1,2026-02-08,New Activation,Completed,37.62
230,6,14,2415,6,2026-05-06,New Activation,Voided,0.0
231,16,45,2089,1,2025-11-08,Bill Payment,Completed,30.0
232,8,18,1708,5,2025-08-25,Bill Payment,Completed,60.0
233,8,17,1515,6,2025-09-26,Bill Payment,Completed,65.0
234,2,5,1993,,2025-03-12,Accessory Sale,Completed,108.42
235,2,5,1995,4,2026-04-27,Bill Payment,Completed,55.0
236,1,2,137,1,2026-06-22,New Activation,Completed,44.28
237,14,37,1097,3,2026-04-24,Upgrade,Completed,70.23
238,14,38,781,4,2025-09-04,New Activation,Completed,63.79
239,5,11,573,2,2026-05-11,Bill Payment,Voided,0.0
240,3,7,404,1,2025-02-12,Upgrade,Completed,90.75
241,13,33,2285,1,2026-06-04,New Activation,Completed,38.35
242,7,16,826,3,2026-05-07,New Activation,Completed,50.31
243,14,,34,5,2025-11-25,Bill Payment,Completed,60.0
244,12,31,539,2,2025-02-04,Bill Payment,Completed,40.0
245,11,30,2480,5,2025-05-02,Bill Payment,Completed,60.0
246,16,44,1230,3,2025-11-20,Bill Payment,Voided,0.0
247,6,14,10,6,2025-06-27,Bill Payment,Completed,65.0
248,11,28,1337,6,2026-03-17,New Activation,Completed,73.27
249,3,7,1152,5,2026-02-25,Bill Payment,Completed,60.0
250,14,36,1970,1,2025-06-20,Bill Payment,Refunded,-30.0
251,8,19,2596,,2025-01-05,Accessory Sale,Completed,80.77
252,13,33,120,,2025-08-11,Accessory Sale,Completed,90.72
253,10,26,1101,,2026-05-07,Accessory Sale,Completed,100.27
254,2,3,222,,2026-05-24,Accessory Sale,Completed,18.65
255,18,49,644,2,2026-05-27,Bill Payment,Completed,40.0
256,15,39,1291,2,2025-03-12,Bill Payment,Completed,40.0
257,6,14,1179,2,2026-05-25,Bill Payment,Completed,40.0
258,13,33,269,3,2025-03-02,Bill Payment,Refunded,-45.0
259,17,47,1271,3,2026-01-23,Bill Payment,Completed,45.0
260,6,13,2121,,2026-06-18,Accessory Sale,Completed,102.21
261,14,36,2196,3,2025-10-31,Bill Payment,Completed,45.0
262,2,4,82,3,2025-01-14,Bill Payment,Voided,0.0
263,16,45,1803,4,2025-10-18,Bill Payment,Completed,55.0
264,9,22,1738,6,2025-03-14,Bill Payment,Completed,65.0
265,14,35,961,3,2025-07-06,Bill Payment,Completed,45.0
266,5,12,2118,5,2025-07-20,Bill Payment,Completed,60.0
267,3,7,592,2,2026-04-03,Bill Payment,Completed,40.0
268,14,37,2535,4,2025-07-05,Bill Payment,Completed,55.0
269,14,,1286,5,2026-02-10,Bill Payment,Refunded,-60.0
270,7,16,1506,1,2026-06-14,Bill Payment,Voided,0.0
271,2,5,12,,2026-03-17,Accessory Sale,Completed,149.52
272,9,20,2581,5,2025-02-24,Upgrade,Completed,101.77
273,14,38,2495,1,2025-04-04,Plan Change,Completed,0.61
274,15,42,2421,4,2025-11-03,Bill Payment,Completed,55.0
275,12,32,602,3,2025-11-26,Bill Payment,Completed,45.0
276,11,27,1772,5,2025-03-19,Bill Payment,Completed,60.0
277,8,19,2444,4,2025-11-01,Upgrade,Completed,101.68
278,14,37,707,6,2025-09-25,Plan Change,Refunded,-5.16
279,4,10,2431,1,2026-03-15,New Activation,Completed,40.0
280,3,6,2122,5,2026-02-19,Bill Payment,Completed,60.0
281,5,11,475,2,2025-03-10,Bill Payment,Completed,40.0
282,5,11,1320,2,2025-07-05,Bill Payment,Voided,0.0
283,2,5,1685,1,2025-09-16,Bill Payment,Completed,30.0
284,13,33,1355,2,2026-05-17,New Activation,Completed,54.25
285,1,2,646,1,2025-06-29,Plan Change,Completed,4.35
286,7,16,653,6,2025-03-29,Plan Change,Completed,3.89
287,5,12,2158,,2026-04-07,Accessory Sale,Completed,46.54
288,13,33,1413,6,2025-04-18,Bill Payment,Completed,65.0
289,10,25,1962,5,2025-11-12,Upgrade,Completed,139.43
290,18,50,2023,3,2025-11-25,New Activation,Voided,0.0
291,12,31,125,3,2026-04-04,Bill Payment,Completed,45.0
292,5,11,484,2,2026-06-17,Bill Payment,Completed,40.0
293,16,45,2497,5,2025-12-19,New Activation,Completed,66.6
294,6,14,108,4,2026-04-02,Bill Payment,Completed,55.0
295,4,,2308,3,2026-06-28,Bill Payment,Completed,45.0
296,1,,777,2,2025-03-25,Bill Payment,Completed,40.0
297,7,15,1219,6,2025-05-09,Bill Payment,Completed,65.0
298,5,12,628,6,2025-08-13,Bill Payment,Voided,0.0
299,3,6,787,3,2026-06-17,Bill Payment,Completed,45.0
300,11,28,657,5,2025-02-16,Upgrade,Completed,99.29
301,3,8,471,3,2026-03-29,New Activation,Completed,56.91
302,3,6,1210,6,2025-03-06,Plan Change,Completed,7.5
303,3,8,1956,4,2025-07-30,Bill Payment,Completed,55.0
304,2,5,1607,,2025-12-20,Accessory Sale,Completed,116.22
305,6,13,1003,6,2025-01-09,Plan Change,Voided,0.0
306,2,5,1436,3,2026-04-25,Bill Payment,Refunded,-45.0
307,8,18,213,2,2025-01-27,Bill Payment,Completed,40.0
308,3,8,1868,,2025-07-29,Accessory Sale,Completed,51.98
309,2,3,171,4,2026-06-18,Upgrade,Completed,89.78
310,8,17,452,5,2025-06-29,Bill Payment,Completed,60.0
311,5,11,2393,6,2025-07-14,Bill Payment,Refunded,-65.0
312,17,47,450,2,2025-09-15,Bill Payment,Completed,40.0
313,12,31,1379,1,2025-07-30,Plan Change,Completed,5.92
314,5,,48,6,2025-12-12,Bill Payment,Completed,65.0
315,8,17,860,5,2025-09-13,Bill Payment,Completed,60.0
316,14,37,407,2,2025-02-23,Bill Payment,Completed,40.0
317,3,7,322,,2025-07-27,Accessory Sale,Completed,135.64
318,16,45,2010,6,2026-01-19,Bill Payment,Completed,65.0
319,3,7,2525,5,2026-03-14,Bill Payment,Completed,60.0
320,8,17,1215,2,2025-08-12,Bill Payment,Completed,40.0
321,12,31,2380,4,2025-10-16,Plan Change,Completed,0.18
322,7,15,1490,5,2026-01-09,New Activation,Completed,66.05
323,6,13,2522,,2025-05-30,Accessory Sale,Completed,115.64
324,18,50,1762,1,2026-04-04,Plan Change,Voided,0.0
325,4,9,548,2,2025-04-06,Bill Payment,Completed,40.0
326,10,24,2454,3,2026-01-10,Bill Payment,Completed,45.0
327,13,33,2167,4,2026-01-02,Bill Payment,Completed,55.0
328,11,28,139,,2025-10-23,Accessory Sale,Completed,92.35
329,15,39,265,1,2025-03-26,Bill Payment,Completed,30.0
330,18,49,859,,2025-12-01,Accessory Sale,Completed,62.26
331,6,,1330,6,2026-04-05,Bill Payment,Completed,65.0
332,3,7,1974,6,2025-09-11,Bill Payment,Voided,0.0
333,16,43,1346,5,2025-11-25,Bill Payment,Completed,60.0
334,16,,2131,3,2025-08-02,Bill Payment,Completed,45.0
335,18,49,2198,4,2025-05-03,New Activation,Completed,60.78
336,7,15,2060,2,2026-02-27,Bill Payment,Completed,40.0
337,10,26,1819,2,2025-11-03,Bill Payment,Voided,0.0
338,16,43,1221,5,2025-06-21,Bill Payment,Refunded,-60.0
339,12,31,1211,5,2026-04-13,Upgrade,Completed,103.05
340,5,12,1347,2,2026-06-14,Upgrade,Voided,0.0
341,8,17,1886,,2025-01-23,Accessory Sale,Completed,31.63
342,14,35,664,,2026-05-19,Accessory Sale,Completed,132.4
343,5,12,2003,2,2026-06-30,Bill Payment,Voided,0.0
344,7,15,2571,3,2025-04-27,Bill Payment,Completed,45.0
345,15,42,1048,2,2025-06-01,Bill Payment,Completed,40.0
346,3,6,2470,4,2025-04-24,Bill Payment,Completed,55.0
347,7,,1580,2,2026-02-01,Plan Change,Completed,6.3
348,16,43,1683,1,2025-07-04,Bill Payment,Completed,30.0
349,7,16,2417,5,2026-06-18,New Activation,Completed,66.87
350,5,11,1200,4,2025-12-10,Bill Payment,Completed,55.0
351,5,11,583,4,2026-06-09,New Activation,Completed,61.38
352,8,19,855,1,2026-02-25,Bill Payment,Refunded,-30.0
353,17,48,1279,2,2026-03-13,Bill Payment,Voided,0.0
354,2,5,1857,6,2025-03-16,Bill Payment,Completed,65.0
355,15,39,2288,4,2026-04-01,Bill Payment,Refunded,-55.0
356,6,13,2229,2,2025-09-19,Bill Payment,Refunded,-40.0
357,17,48,2305,3,2025-07-15,New Activation,Completed,57.24
358,5,11,2139,5,2026-01-30,Upgrade,Completed,125.33
359,5,11,2291,3,2026-06-27,Bill Payment,Completed,45.0
360,17,48,435,2,2025-06-13,New Activation,Completed,49.93
361,2,5,496,3,2025-03-14,Bill Payment,Completed,45.0
362,15,42,1972,1,2026-05-12,Bill Payment,Refunded,-30.0
363,16,44,604,2,2026-03-05,Plan Change,Completed,7.31
364,16,43,1913,6,2026-01-28,Upgrade,Completed,89.67
365,16,45,360,4,2025-12-15,Bill Payment,Refunded,-55.0
366,2,4,1463,4,2025-07-30,Bill Payment,Refunded,-55.0
367,17,47,2100,5,2025-03-23,Upgrade,Completed,128.6
368,14,38,1998,5,2026-06-06,New Activation,Voided,0.0
369,1,2,2475,,2025-07-13,Accessory Sale,Voided,0.0
370,4,9,2174,1,2026-03-30,Bill Payment,Voided,0.0
371,5,12,2299,4,2026-04-14,Bill Payment,Completed,55.0
372,4,9,2580,5,2026-04-04,Bill Payment,Completed,60.0
373,17,47,1736,2,2025-09-30,Bill Payment,Refunded,-40.0
374,18,49,405,5,2025-02-22,Bill Payment,Completed,60.0
375,16,44,960,1,2025-04-16,Plan Change,Refunded,-7.75
376,11,29,1243,2,2025-01-12,Bill Payment,Completed,40.0
377,14,35,1683,1,2025-08-26,Plan Change,Completed,2.49
378,3,7,358,2,2026-04-18,Upgrade,Completed,66.96
379,4,10,735,3,2025-06-01,Bill Payment,Completed,45.0
380,18,49,224,,2025-08-06,Accessory Sale,Refunded,-27.19
381,3,,520,5,2026-05-05,Bill Payment,Completed,60.0
382,17,47,1430,2,2025-07-19,Upgrade,Completed,78.93
383,18,49,2457,4,2025-10-26,Bill Payment,Completed,55.0
384,4,10,2368,4,2025-07-31,New Activation,Completed,69.71
385,17,47,749,5,2026-04-14,New Activation,Completed,71.88
386,14,36,2515,2,2025-07-31,Bill Payment,Completed,40.0
387,13,,1064,5,2025-05-14,Bill Payment,Voided,0.0
388,18,49,1177,6,2025-09-20,Bill Payment,Completed,65.0
389,12,31,59,3,2025-03-19,Bill Payment,Completed,45.0
390,6,14,628,5,2025-05-20,Bill Payment,Completed,60.0
391,18,50,1946,,2025-10-15,Accessory Sale,Completed,60.03
392,17,48,1720,4,2025-11-14,Bill Payment,Completed,55.0
393,11,29,1865,,2026-01-22,Accessory Sale,Completed,126.2
394,7,16,707,2,2025-01-29,Upgrade,Completed,92.11
395,11,30,2117,5,2025-06-28,Bill Payment,Completed,60.0
396,1,2,1750,5,2025-01-21,Bill Payment,Completed,60.0
397,4,10,1856,4,2025-11-02,Bill Payment,Completed,55.0
398,14,38,1424,2,2026-06-17,Bill Payment,Completed,40.0
399,15,40,2509,3,2026-06-09,Bill Payment,Completed,45.0
400,18,49,328,2,2026-01-15,Bill Payment,Refunded,-40.0
401,14,,982,6,2026-06-25,Bill Payment,Completed,65.0
402,12,31,2378,6,2025-05-10,Bill Payment,Completed,65.0
403,12,32,2227,3,2025-06-25,Bill Payment,Completed,45.0
404,11,28,907,,2025-07-11,Accessory Sale,Refunded,-19.75
405,17,48,1874,,2025-02-22,Accessory Sale,Completed,57.07
406,3,6,487,5,2025-08-14,Bill Payment,Completed,60.0
407,7,15,2449,3,2025-08-03,Bill Payment,Completed,45.0
408,18,49,522,3,2025-06-06,Bill Payment,Completed,45.0
409,11,29,1558,4,2026-06-04,Bill Payment,Completed,55.0
410,15,39,2407,2,2025-07-12,Bill Payment,Completed,40.0
411,4,9,519,1,2026-02-12,Plan Change,Completed,4.54
412,6,14,1322,4,2025-07-06,New Activation,Completed,64.97
413,18,50,1493,4,2025-07-12,Bill Payment,Completed,55.0
414,14,35,2133,4,2025-07-29,Bill Payment,Completed,55.0
415,4,9,1668,2,2026-04-13,Bill Payment,Completed,40.0
416,5,12,828,5,2026-05-30,Plan Change,Completed,4.32
417,2,5,1146,4,2025-07-09,Bill Payment,Completed,55.0
418,6,14,1787,3,2025-12-21,Bill Payment,Completed,45.0
419,3,7,1019,3,2026-03-06,Bill Payment,Completed,45.0
420,17,48,1960,3,2025-09-26,Plan Change,Completed,1.31
421,1,2,2419,5,2025-10-16,Bill Payment,Completed,60.0
422,8,17,2598,6,2025-12-10,Bill Payment,Voided,0.0
423,10,26,1373,1,2026-05-26,Bill Payment,Completed,30.0
424,18,49,2395,1,2025-09-15,Bill Payment,Completed,30.0
425,5,12,1312,3,2026-03-01,Plan Change,Completed,0.69
426,6,14,1342,3,2025-09-10,Bill Payment,Completed,45.0
427,6,13,1096,1,2025-07-14,Bill Payment,Completed,30.0
428,12,32,774,3,2025-01-06,Bill Payment,Completed,45.0
